SigAgente,unidades_consumidoras,inspecoes_irregularidade,termos_ocorrencia,termos_cobrados,taxa_inspecao_por_1000_uc,escala_perda,nota_limite
Amazonas Energia,14152589,115716.0,76923.0,7365.0,8.176313181990942,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
CEA Equatorial,3021017,30224.0,25278.0,10044.0,10.004577928558495,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
CEEE Equatorial,23384957,134129.0,134129.0,3916.0,5.735695815048965,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
CPFL Paulista,60020090,196363.0,32723.0,11452.0,3.271621218828562,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
CPFL Piratininga,23534373,132989.0,20405.0,8309.0,5.650841006046773,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
CPFL Santa Cruz,6110374,9680.0,1354.0,314.0,1.5841910822479934,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Castro-Dis,28465,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cedrap,94589,0.0,6.0,3.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cedri,40554,6.0,5.0,5.0,0.14795088030773784,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cegero,85454,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cejama,69319,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Celesc-Dis,41391177,30692.0,8301.0,2179.0,0.7415106847529366,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Celetro,289250,3.0,2.0,2.0,0.010371650821089023,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cemig-D,125723050,300673.0,159029.0,197.0,2.3915503163501044,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cemirim,207314,10.0,17.0,1.0,0.048236009145547334,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceprag,261589,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceral Anitápolis,48629,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceral Araruama,93108,0.0,102.0,18.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceral-Dis,1093,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceraçá,155995,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerbranorte,220243,0.0,2.0,2.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerci,216090,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cercos,82533,10.0,10.0,0.0,0.12116365574982128,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerej,192593,5.0,10.0,7.0,0.02596148354301558,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceres,71930,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerfox,197797,24.0,5.0,3.0,0.12133652178748919,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cergal,247253,0.0,2.0,1.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cergapa,48230,0.0,1.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cergral,84211,0.0,1.0,1.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceriluz,181084,2360.0,3.0,5.0,13.032625742749222,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerim,194050,280.0,27.0,13.0,1.4429270806493173,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceripa,94384,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Ceris,87164,0.0,6.0,4.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cermc,42335,2.0,0.0,0.0,0.04724223455769458,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cermissões,344440,0.0,10.0,4.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cermoful,198063,8.0,7.0,5.0,0.04039118866219334,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cernhe,57247,10.0,10.0,4.0,0.174681642706168,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerpalo,208524,17.0,14.0,14.0,0.0815253879649345,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerpro,25077,4.0,4.0,1.0,0.15950871316345655,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cerrp,42519,20.0,10.0,5.0,0.4703779486817658,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cersad,16848,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cersul,224524,8.0,7.0,6.0,0.03563093477757389,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Certaja Energia,320567,55.0,3.0,1.0,0.17157099763855918,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Certel Energia,899215,15.0,9.0,5.0,0.016681216394299474,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Certhil,108538,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Certrel,57574,10.0,3.0,2.0,0.17368951262722757,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cervam,58172,3.0,2.0,2.0,0.051571202640445575,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cetril,396900,2.0,70.0,9.0,0.005039052658100277,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Chesp,487441,22.0,33.0,5.0,0.045133667459241224,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cocel,709049,4.0,0.0,0.0,0.005641359059811099,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coopera,334303,9.0,122.0,27.0,0.02692168481886193,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cooperaliança,540415,1.0,0.0,0.0,0.001850429762312297,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coopercocal,143859,3.0,3.0,3.0,0.02085375263278627,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cooperluz,207509,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coopermila,17061,0.0,2.0,1.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coopernorte,85512,20.0,12.0,7.0,0.23388530264758162,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coopersul,71921,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Cooperzem,109034,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coorsel,113841,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Copel-Dis,63185670,82528.0,8915.0,2063.0,1.306118934878747,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Coprel,708332,3.0,3.0,3.0,0.004235302089980405,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Creluz-D,305895,0.0,6.0,5.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Creral,96425,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Dcelt,502939,4.0,0.0,0.0,0.007953250791845532,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Demei,437353,20.0,3.0,1.0,0.04572965087698038,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Dmed,1080133,173.0,60.0,16.0,0.1601654611052528,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
EDP ES,21759639,38409.0,12653.0,7720.0,1.7651487692419898,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
EDP SP,27333359,51700.0,27164.0,16614.0,1.8914616385055345,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Eflul,91532,0.0,0.0,0.0,0.0,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Eletrocar,495803,13.0,1.0,1.0,0.026220091447611248,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Enel CE,50609559,154388.0,56683.0,27990.0,3.0505699526051986,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Enel GO,41755475,179644.0,109103.0,9490.0,4.3022861073907075,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Enel RJ,37088539,267538.0,113608.0,83688.0,7.2134952525361005,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Enel SP,101542485,219542.0,88053.0,66119.0,2.1620703885669137,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa AC,3562014,49811.0,6143.0,4100.0,13.983942791914911,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa MS,13573392,53898.0,8723.0,6626.0,3.970857100421177,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa MT,19713721,255858.0,43082.0,29046.0,12.97867612106309,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa Minas Rio,7229182,8366.0,452.0,394.0,1.157254029570704,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa PB,22020146,132287.0,18300.0,15585.0,6.00754418249543,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa RO,8429036,156046.0,46973.0,25917.0,18.512911796793844,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
Energisa SE,10498924,55130.0,9670.0,8011.0,5.251014294417218,distribuidora,Não medem roubo real; registram sinais comerciais publicados pela ANEEL no INDGER.
