cod_ibge,linhas_tsee,subs_pos,subs_neg,n_negativos,subs_liquido
1500107,18485.0,840810.5,-2449.59,39.0,838360.91
1500131,848.0,33430.35,0.0,0.0,33430.35
1500206,4445.0,162936.83000000002,-153.84,4.0,162782.99
1500305,1712.0,70952.47,-154.34,6.0,70798.13
1500347,1129.0,47399.399999999994,-203.69,3.0,47195.71
1500404,7697.0,314939.73,-130.36,2.0,314809.37
1500503,3650.0,150181.8,-7.57,1.0,150174.23
1500602,17032.0,760458.84,-1228.56,24.0,759230.28
1500701,1509.0,52697.09,-282.36,2.0,52414.73
1500800,65164.0,2891784.23,-7059.63,83.0,2884724.6
1500859,3303.0,135168.44999999998,-179.07,4.0,134989.38
1500909,4188.0,150141.92,-11.82,2.0,150130.1
1500958,2719.0,96060.84999999999,-47.92,2.0,96012.93
1501006,1004.0,34512.74,0.0,0.0,34512.74
1501105,1446.0,36298.85,0.0,0.0,36298.85
1501204,2681.0,102596.81999999999,-25.22,3.0,102571.6
1501253,250.0,9745.77,0.0,0.0,9745.77
1501303,11462.0,504199.38,-1767.2800000000002,22.0,502432.1
1501402,193362.0,8774424.32,-21361.969999999998,307.0,8753062.35
1501451,2522.0,101769.26,0.0,0.0,101769.26
1501501,9306.0,385083.8,-1688.7599999999998,16.0,383395.04
1501576,1319.0,50804.78,-60.879999999999995,3.0,50743.9
1501600,1751.0,64603.92999999999,-39.23,2.0,64564.7
1501709,14794.0,582130.3700000001,-401.88,5.0,581728.49
1501725,2612.0,105249.76999999999,-229.92000000000002,8.0,105019.85
1501758,865.0,34179.850000000006,0.0,0.0,34179.85
1501782,4092.0,159136.49,-1548.4099999999999,12.0,157588.08
1501808,12129.0,507188.89,-5833.379999999999,263.0,501355.51
1501907,2844.0,105056.54000000001,-32.29,3.0,105024.25
1501956,1920.0,70225.88,0.0,0.0,70225.88
1502004,2802.0,103408.98000000001,-194.46,1.0,103214.52
1502103,11204.0,386159.49,-245.10999999999999,5.0,385914.38
1502152,5406.0,239537.61,-1224.08,10.0,238313.53
1502202,11247.0,457831.61,-132.33,10.0,457699.28
1502301,9390.0,363309.55,-337.87,9.0,362971.68
1502400,27713.0,1173639.0,-1613.43,52.0,1172025.57
1502509,636.0,23258.66,0.0,0.0,23258.66
1502608,1677.0,58826.53999999999,-21.06,3.0,58805.48
1502707,4752.0,195766.86,-507.84999999999997,10.0,195259.01
1502756,2915.0,109354.67,-459.15000000000003,4.0,108895.52
1502764,632.0,25929.71,0.0,0.0,25929.71
1502772,2152.0,84945.23999999999,-5.92,1.0,84939.32
1502806,2151.0,56061.52,-43.760000000000005,2.0,56017.76
1502855,1936.0,75720.31,-55.54,4.0,75664.77
1502905,4501.0,168342.65,-290.96,13.0,168051.69
1502939,6349.0,273472.25,0.0,0.0,273472.25
1502954,2444.0,94276.15999999999,-616.8599999999999,5.0,93659.3
1503002,1157.0,50993.259999999995,0.0,0.0,50993.26
1503044,2263.0,90603.29000000001,0.0,0.0,90603.29
1503077,3652.0,131745.34999999998,0.0,0.0,131745.35
1503093,2313.0,84869.43,-852.42,5.0,84017.01
1503101,1963.0,71641.67,-34.81,1.0,71606.86
1503200,6039.0,231435.16,-272.10999999999996,7.0,231163.05
1503309,5541.0,202016.69,-937.6,5.0,201079.09
1503408,1108.0,42150.53,0.0,0.0,42150.53
1503457,3569.0,131591.34000000003,-16.96,2.0,131574.38
1503507,4257.0,154165.05,-261.83,4.0,153903.22
1503606,17153.0,785447.01,-2780.06,42.0,782666.95
1503705,4873.0,186919.22999999998,-343.53999999999996,8.0,186575.69
1503754,1008.0,47903.91,0.0,0.0,47903.909999999996
1503804,6025.0,240047.71,-93.82,6.0,239953.89
1503903,4875.0,213773.03999999998,-504.91999999999996,5.0,213268.12
1504000,1034.0,40058.67,0.0,0.0,40058.67
1504059,6103.0,255165.12,-64.9,5.0,255100.22
1504109,1299.0,47197.51,-17.82,1.0,47179.69
1504208,30971.0,1337497.21,-4344.29,67.0,1333152.92
1504307,3872.0,136547.25,-132.72,4.0,136414.53
1504406,3442.0,120849.29999999999,-73.85000000000001,4.0,120775.45
1504422,19889.0,871816.28,-1641.61,32.0,870174.67
1504455,3601.0,142652.37,-65.48,3.0,142586.88999999998
